title,rating,Year
The Shawshank Redemption,9.7,1994
Farewell My Concubine,9.6,1993
Forrest Gump,9.5,1994
Titanic,9.5,1997
千と千尋の神隠し,9.4,2001
La vita è bella,9.5,1997
Léon,9.4,1994
Interstellar,9.4,2014
Inception,9.4,2010
The Truman Show,9.4,1998
Schindler's List,9.5,1993
Hachi: A Dog's Tale,9.4,2009
La leggenda del pianista sull'oceano,9.3,1998
3 Idiots,9.2,2009
Les choristes,9.3,2004
WALL·E,9.3,2008
Zootopia,9.2,2016
無間道,9.3,2002
Witness for the Prosecution,9.6,1957
西遊記大結局之仙履奇緣,9.2,1995
???,9.3,2011
The Godfather,9.3,1972
Intouchables,9.3,2011
Coco,9.1,2017
The Pursuit of Happyness,9.2,2006
The Last Emperor,9.3,1987
となりのトトロ,9.2,1988
Harry Potter and the Sorcerer's Stone,9.2,2001
Flipped,9.1,2010
人生    Lifetimes,9.3,1994
The Dark Knight,9.2,2008
The Lord of the Rings: The Return of the King,9.3,2003
中国药神    印度药神,9,2018
Gone with the Wind,9.3,1939
Up,9.1,2009
??,9.3,2013
ハウルの動く城,9.1,2004
让子弹飞一会儿    火烧云,9,2010
12 Angry Men,9.4,1957
Heidi,9.3,2015
????????,9.1,2018
Catch Me If You Can,9.1,2002
Dangal,9,2016
天空の城ラピュタ,9.2,1986
Devils on the Doorstep,9.3,2000
Life of Pi,9.1,2012
The Pianist,9.3,2002
The Lord of the Rings: The Two Towers,9.2,2002
西遊記第壹佰零壹回之月光寶盒,9,1995
Scent of a Woman,9.1,1992
Dead Poets Society,9.2,1989
Green Book,8.9,2018
The Monkey King,9.4,1961
Roman Holiday,9.1,1953
The Matrix,9.1,1999
The Lord of the Rings: The Fellowship of the Ring,9.1,2001
The Godfather: Part II,9.3,1974
Nuovo Cinema Paradiso,9.2,1988
The Lion King,9.1,1994
???,9.2,2013
飲食男女,9.2,1994
Fight Club,9,1999
The Curious Case of Benjamin Button,9,2008
A Beautiful Mind,9.1,2001
The Boy in the Striped Pajamas,9.2,2008
Das Leben der Anderen,9.2,2006
Love Letter,8.9,1995
"Lock, Stock and Two Smoking Barrels",9.1,1998
The Sound of Music,9.1,1965
Contratiempo,8.8,2016
Malèna,8.9,2000
Harry Potter and the Deathly Hallows: Part 2,9,2011
Avatar,8.8,2009
Saving Private Ryan,9.1,1998
功夫3D    Kung Fu Hustle,8.9,2004
Harry Potter and the Prisoner of Azkaban,9,2004
??? ??? ?????,9.2,1997
One Flew Over the Cuckoo's Nest,9.1,1975
The Silence of the Lambs,8.9,1991
The Grand Budapest Hotel,8.9,2014
The Butterfly Effect,8.9,2004
Shutter Island,8.9,2010
The Prestige,8.9,2006
Good Will Hunting,9,1997
Detachment,9,2011
Pulp Fiction,8.9,1994
Modern Times,9.3,1936
喜劇之王,8.8,1999
春光乍洩,9,1997
The Cove,9.3,2009
Identity,8.9,2003
Harry Potter and the Chamber of Secrets,8.9,2002
??? ??,8.9,2003
Once Upon a Time in America,9.1,1984
Yi yi    Yi yi: A One and a Two,9.1,2000
パプリカ,9.1,2006
Pirates of the Caribbean: The Curse of the Black Pearl,8.8,2003
Se7en,8.8,1995
唐伯虎點秋香,8.7,1993
Jagten,9.1,2012
7??? ??,8.9,2013
